House Description,Price,Bedrooms,Bathrooms,Full Baths,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Area,Community,Condo,City,County,Province,Postal Code,Features,Parking Spaces,Parking,Is Waterfront,Has Pool,Interior,Interior Features,Heating,Fireplace,# of Stories,Has Basement,Basement,Separate Entrance,Exterior,Exterior Features,Construction,Foundation,Elementary,Middle,High,Foreclosure,RE / Bank Owned,Office,Bedrooms Above Grade,# of Garages,Garages,Half Baths,Fireplaces,Zoning,Lot Description,HOA Fees,HOA Fees Freq.,Condo Fee
"LEGAL UP/DOWN DUPLEX! UPDATED & RENOVATED 3 BEDROOMS UPSTAIRS + 2 BEDS IN BASEMENT SUITE. EACH SUITE WITH OWN LAUNDRY & ENTRANCE! Tenants are awesome to deal with, long term & have maintained the property very well, upstairs rented approximately 3-years. Rent upstairs $1675, downstairs $1275 (month-to-month) including utilities, tenants pay internet & cable. This home is APPEALING as it is TURN-KEY, RENTED & READY FOR A SAVVY INVESTOR as there would be NO DOWN-TIME DUE TO VACANCIES as you take over the unit like all the other vacant homes! PRIME LOCATION schools across the road, shopping & transportation only steps away. Great property for an investor or a multigenerational family. Durable VINYL PLANK FLOORING throughout up/down, 2 NEW FURNACES, oversized HWT, upgraded electrical, both suites have dishwashers, new windows, doors, renovated top to bottom for the best layouts for each floor! Why buy a vacant unit when you can buy something that will produce cashflow from day 1 with great long-term tenants!","$424,800",5,2.00,2,"1,054",0.00,1964,Single Family,Residential Detached Single Family,Bungalow,13412 94 Street Nw,Edmonton,Glengarry,,Edmonton,ALBERTA,AB,T5E 3V9,See Remarks,2,"2 Outdoor Stalls, Front Drive Access, On Street, Parking Pad Cement or Paved, Single Carport",No,No,Vinyl Plank,"Dryer-Two, Refrigerators-Two, Stoves-Two, Washers-Two, Dishwasher-Two, Microwave Hood Fan-Two",Forced Air-2,No,2,Yes,"Fully Finished, Full",Yes,"Stucco, Wood",See Remarks,Wood Frame,Concrete,Glengarry,,O'Leary Catholic HS,No,No,Courtesy Of Ryan Sellers Of RE/MAX Real Estate,3,,,,,,,,,
"* ATTENTION RENOVATORS, SPECULATORS, INVESTORS, BUILDERS, & FIRST-TIME HOME BUYERS ... DID I MISS ANYONE? Great fixer-upper ""Handyman Special"" in prime Holyrood location!! 879 sq. ft. bungalow awaiting your personal design, renovation, and decor. The main level features private front entry with coat closet, living room, dining, kitchen, storage, two bedrooms with hardwood floors, plus 4-piece bath. A separate entrance guides you to the lower level, with large family room, a den / office, utility / laundry area, plus 3-piece bath. Newer updates to this home include: high-efficient furnace; asphalt shingles; and some windows. The lot is 50' x 120' rectangular (RF1-zoning) with a nice-sized backyard and oversized single garage (22' x 16'). Convenient access to Holyrood School; Vimy Ridge Academy; swimming / recreation; transit / LRT; 75 St. / 90 Ave.; Bonnie Doon Shopping Centre; and Downtown. IMMEDIATE POSSESSION!!","$349,900",2,2.00,2,879,0.14,1953,Single Family,Residential Detached Single Family,Bungalow,7928 91 Avenue Nw,Edmonton,Holyrood,,Edmonton,ALBERTA,AB,T6C 1R1,"No Animal Home, Vinyl Windows, Handyman Special",4,"Off Street, On Street, Over Sized, Rear Drive Access, Single Garage Detached",No,No,"Carpet, Hardwood, Linoleum","Dryer, Garage Opener, Stove-Electric, Washer, Window Coverings, Refrigerators-Two",Forced Air-1,No,1,Yes,"Full, Unfinished",Yes,"Metal, Stucco","Fenced, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Back Lane, Paved Lane, Public Swimming Pool",Wood Frame,Concrete,Holyrood,Vimy Ridge,Vimy Ridge,No,No,Courtesy Of Kelly Grant Of MaxWell Polaris,2,1,6.8 x 4.9 m,,,RF1,,,,
"Tired of paying rent? Don’t want condo fees? Want your own private yard? Want your own garage? If you answered, yes to any of those questions then this house might be the right one for you. Centrally located in Highlands, 10 minutes from NAIT, 15 minutes to Macewan university and walking distance to all amenities, this bungalow gives you a 3 total bedrooms, 2 full washrooms, your own fenced south facing backyard and a partially finished basement with a bedroom. Not much to do to make this house yours as it already has a newer furnace, newer shingles and a newer hot water tank. This house is bright with modern colours and recent updates. Separate entrance to basement","$215,000",3,2.00,2,774,0.15,1944,Single Family,Residential Detached Single Family,Bungalow,5113 118 Avenue Nw,Edmonton,Highlands,,Edmonton,ALBERTA,AB,T5W 1C1,"Fire Pit, Hot Water Natural Gas, Natural Gas Stove Hookup",,Single Garage Detached,No,No,"Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Storage Shed, Stove-Electric, Washer, Fan-Ceiling",Forced Air-1,No,1,Yes,"Full, Partly Finished",Yes,Stucco,"Fenced, Public Transportation, Schools, Shopping Nearby, Back Lane",Wood Frame,Concrete,,,,No,No,Courtesy Of Aaron Dulmage Of Exp Realty,2,1,4.0 x 7.0,,,,,,,
"Welcome to this well sized bungalow in Bannerman! This 6 bedroom and 3 full bathrooms has one of the best curb appeals in the neighbourhood. As you walk in, you a greeted into the spacious living room with feature wall and fireplace which is complimented by large windows that allow a ton of natural lighting. The kitchen has well-built/durable cabinets with tile flooring. From here, you have access to your deck and big backyard. The fully finished basement includes big bedrooms and an open living area. Great potential for an in-law suite. Recent upgrades include: roofing (4 years old), furnace (2021), air-condition (2021), windows (2018), and hot water tank.","$299,000",4,3.00,3,"1,340",0.00,1978,Single Family,Residential Detached Single Family,Bungalow,14232 25 Street Nw,Edmonton,Bannerman,,Edmonton,ALBERTA,AB,T5Y 1G5,Detectors Smoke,,2 Outdoor Stalls,No,No,"Carpet, Hardwood, Linoleum","Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer, Window Coverings",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Vinyl,Landscaped,Wood Frame,Concrete,,,,No,No,Courtesy Of Terrance De Villa Of MaxWell Devonshire Realty,3,,,,,,,,,
"Move in Ready! This spacious, raised bungalow (over 1,300 sq ft on the main floor) has been refreshed while still retaining much of the original character. UPDATES include: New Paint, Vinyl Plank Flooring throughout, Lighting and Bathroom Renovations (tub refinishing, new toilet, sink & faucet). The main floor is Carpet-Free featuring hardwood floors. Separate Basement Entrance with Kitchenette (gas line in place for stove). Bright & Sunny home (WEST BACKYARD!) with lots of windows including large basement ones. Double Garage with Gas Line rounds out the property. Easy access to the Yellowhead & Wayne Gretzky Drive. Lots of potential found here! Large Lot, 50' x 150'.","$300,000",4,2.00,2,"1,348",0.17,1957,Single Family,Residential Detached Single Family,Raised Bungalow,Nw,Edmonton,Elmwood Park,,Edmonton,ALBERTA,AB,T5B 2P3,"No Animal Home, No Smoking Home",,Double Garage Detached,No,No,"Carpet, Hardwood, Vinyl Plank","Refrigerator, Stove-Electric, Window Coverings, Hood Fan",Forced Air-1,No,2,Yes,"Partly Finished, Full",Yes,Stucco,"Back Lane, Fenced, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,Delton School/St Gerard,Spruce Avenue/St Alphonsus,Eastglen/St Joseph,No,No,Courtesy Of Sarah Leib Of RE/MAX River City,3,2,,,,,,,,
"Incredible investment property! Just steps from Whyte Ave, groceries, restaurants, entertainment, medical and every amenity you could need or want! Walking distance or quick bus ride to U of A. Just so many possibilities for this amazing property. Three complete homes in one. Main floor has 3 bedrooms, 1 bath, kitchen, dining and living room. Both basement, Non-Legal suites have a living room, kitchen, 1 bedroom and 1 bathroom. There is a shared laundry for all 3 suites and the eavestroughs have had a $5000 upgrade in 2021.The system installed is called T-Rex and is industrial grade and top of the line. Upgrades in 2022 include a new stove, dryer and dishwasher. This home has also been zoned DC2 for the operation of a small business, salon, ice cream/donut shop etc. An excellent spot to grow a small business and to possibly have a live/work situation. Out back there is a double detached garage, shed, and ample parking spaces. Come check out this amazing investment opportunity!","$599,900",5,3.00,3,"1,160",0.10,1949,Single Family,Residential Detached Single Family,Raised Bungalow,10502 79 Avenue Nw,Edmonton,Queen Alexandra,,Edmonton,ALBERTA,AB,T6E 1R8,"No Animal Home, No Smoking Home, Hot Water Natural Gas, Laundry-In-Suite, Storage-In-Suite",4,Double Garage Detached,No,No,"Carpet, Ceramic Tile, Hardwood","Dishwasher-Built-In, Dryer, Hood Fan, Microwave Hood Cover, Oven-Built-In, Oven-Microwave, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings, Refrigerators-Two, Stoves-Two, Dishwasher-Two",Hot Water,No,2,Yes,"Full, Fully Finished",No,Vinyl,"Back Lane, Flat Site, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Commercial, Corner",Wood Frame,Concrete,Garneau,Allendale,Strathcona,No,No,Courtesy Of Ken Krochmal Of Logic Realty,,2,,,,,,,,
"Attention Investors and Developers. This Raised Bungalow in sought after Queen Alexandra is perfect for an Rental, and Development Site. It is zoned RA7 and the neighboring properties 10460-76 Ave. and 10456-76 Ave are also available.","$399,999",1,2.00,2,653,0.10,1948,Single Family,Residential Detached Single Family,Raised Bungalow,10464 76 Avenue Nw,Edmonton,Queen Alexandra,,Edmonton,ALBERTA,AB,T6E 1L1,Hot Water Natural Gas,,2 Outdoor Stalls,No,No,"Hardwood, Laminate Flooring","Refrigerator, Stove-Electric",Forced Air-1,No,2,Yes,"Full, Partly Finished",No,Stucco,"Back Lane, Fenced, Flat Site, Level Land, Paved Lane, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Gil Whyte Of RE/MAX Elite,1,,,,,,,,,
"Welcome to this RENOVATED bungalow in the community of Northmount. This home BOASTS MODERN character with BEAUTIFUL hardwood floors, ceramic tile flooring and quartz countertops. There are 3 bedrooms on the main floor along with a lovely 4 piece washroom. In the basement is a large family room with a 3 piece washroom and a SPACIOUS bedroom with it's own WALK IN CLOSET! There is a large laundry room in the basement with plenty of storage space. If you LOVE to garden and host BBQs this is the backyard for you! There is a beautiful cedar deck along with a built in pond and gardening beds. The BACKYARD IS MASSIVE and guess what the pergola, rain totes and planters are included! There is also an OVERSIZED garage as well that has it's own attached shed. The best bonus of this home is the 20 SOLAR PANELS! Saving you on energy costs year round. There are many great schools in the neighborhood as well as playgrounds in walking distance. This home is a must see. Come check it out!","$370,000",4,2.00,2,"1,023",0.22,1971,Single Family,Residential Detached Single Family,Bungalow,9327 140 Avenue Nw,Edmonton,Northmount,,Edmonton,ALBERTA,AB,T5E 2E2,"Detectors Smoke, Laundry-In-Suite, Parking-Extra",,"Double Garage Detached, Over Sized, RV Parking",No,No,"Carpet, Ceramic Tile, Engineered Wood","Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Freezer",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,"Vinyl, Stucco","Back Lane, Fenced, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Kyla Ayres Of Exp Realty,3,2,,,,,,,,
"Welcome to Allendale! This FULLY remodeled home is perfectly located across from a park, and complete with a south facing back yard for lots of sun! Through the front door you are welcomed by a cozy entertainment are with fireplace, connecting to a full bathroom! Continuing on you will enter the large kitchen with ample storage / pantry space, island with bar seating, and large dining area. 2 bedrooms round off the main floor, with the primary hosting a walk-in closet and full 4 piece en-suite including double vanity, and walk in shower! In the basement you will find a massive open rec room with fireplace, large wet bar with storage, 2 bedrooms, laundry, and an additional 3 piece bathroom! Tying the property together is the south facing backyard which is home to 2 large decks for enjoying those summer days / nights. This property is a must see!","$553,900",4,3.00,3,"1,167",0.12,1950,Single Family,Residential Detached Single Family,Bungalow,10621 62 Avenue Nw,Edmonton,Allendale,,Edmonton,ALBERTA,AB,T6H 1M7,"No Smoking Home, See Remarks, Bar, Deck, Porch, Laundry-In-Suite, Wet Bar",,"On Street, Over Sized, Single Garage Detached",No,No,Vinyl Plank,"Dishwasher-Built-In, Dryer, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Stove-Countertop Electric, See Remarks",Forced Air-1,No,2,Yes,"Full, Fully Finished, Remodelled Basement",No,Vinyl,"Back Lane, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, See Remarks, Airport Nearby, Fenced, Golf Nearby, Picnic Area, Public Swimming Pool, Ski Hill",Wood Frame,Concrete,,,,No,No,Courtesy Of Max Segal Of MaxWell Progressive,2,1,,,,,,,,
"Parkview Alert, this 5 bedroom (3 up& 2 down) 2 full bathrooms Remodeled, Renovated home. The main floor of this home is welcoming with its expanded open concept living & kitchen area. The large newer kitchen contains s/s appliances, heated floors, acrylic sink. 3 good size bedrooms upstairs. The cozy basement was just renovated in Sept of 2015 to feature a renovated 2nd bathroom, new flooring, lighting, Paint & Trim & left completely open for entertaining. This homes upgrades include: 3 Zone Electric Floor Heating, A Large Back Entry Addition, Hardwood & Ceramic tile Floors. Dual Hot Water Tank System & Newer furnace. The backyard features Newer White Vinyl Maintenance Free Fencing, an Oversized Garage, Natural gas BBQ Line. NEWER WINDOWS WHOLE HOME, NEW FRONT STEPS & NEWER ROOF. MOVE IN READY..","$384,900",5,2.00,2,"1,055",0.13,1955,Single Family,Residential Detached Single Family,Bungalow,9019 149 Street Nw,Edmonton,Parkview,,Edmonton,ALBERTA,AB,T5R 0A5,Deck,2,Single Garage Detached,No,No,"Carpet, Ceramic Tile, Hardwood","Dishwasher-Built-In, Hood Fan, Washer, Storage Shed, Stove-Electric, Refrigerators-Two",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,"Vinyl, Stucco","Back Lane, Fenced",Wood Frame,Concrete,,,,No,No,Courtesy Of Afiz Bharmal Of MaxWell Progressive,3,1,,,,,,,,
"LEGAL BASEMENT SUITE! This professionally renovated 3+3 bedroom, 1443 sq ft bungalow + brand new 1380 sq ft LEGAL SUITE in Kernohan is sure to impress. The main floor suite features 3 bedrooms, beautiful 3-p en-suite and another 4-p bath, huge bright living room w/ bay window, new stylish cream coloured kitchen w/granite countertops, backsplash, and all new appliances, sunken dining area, patio doors that lead to a spacious deck + laundry area with a stackable washer and dryer. The basement suite is brand new and accessible through a separate entrance located at the back of the home. It also features 3 spacious bedrooms, a large 4-p bathroom, great size dinning area and living room, stylish kitchen with white cabinets, all new appliances + a stackable washer & dryer. UPGRADES INCLUDE: All new windows throughout, shingles, vinyl siding, facia, eaves, flooring-trims-paint up & down, all new appliances, 2 furnaces, HWT, all new bathrooms and much more! Situated on a large lot with a double detached garage.","$483,500",6,3.00,3,"1,443",0.14,1977,Single Family,Residential Detached Single Family,Bungalow,2624 135 Avenue Nw,Edmonton,Kernohan,,Edmonton,ALBERTA,AB,T5A 3T8,Carbon Monoxide Detectors,4,Double Garage Detached,No,No,Vinyl Plank,"Garage Opener, Hood Fan, Microwave Hood Cover, Stacked Washer/Dryer, Washer, Refrigerators-Two, Stoves-Two, Dishwasher-Two, Dryer, Garage Control",Forced Air-2,Yes,2,Yes,"Full, Fully Finished",Yes,Vinyl,"Back Lane, Public Transportation, Schools, Shopping Nearby, Fenced, Golf Nearby, Landscaped, Playground Nearby, See Remarks",Wood Frame,Concrete,Ann Fitzgerald,Belmont,Cardinal Collins,No,No,Courtesy Of Aneta Jakuszyk Of MaxWell Challenge Realty,3,2,20 x 22,,"Electric, Insert, Mantel",RF1,,,,
"Bungalow with detached single garage (12’Wx21’L) in the established community of Westwood. This 1957 built home is full of character with a 1,115 square foot main level and a full basement. Above grade, you’ll find a spacious living room with large east-facing window, 3 bedrooms, a tiled 4-piece bathroom and an open kitchen & dining area with eat-up peninsula and plenty of cupboard & countertop space. In the fully finished basement: a spacious laundry room with deep sink, 3-piece bathroom and plenty of potential for a future suite with separate back entrance. Outside: fully fenced back yard, landscaped with plenty of mature trees & perennials, a patio with pergola, and a concrete pathway that leads to the back lane access garage. New Shingles in 2015, backflow valve installed 2022 and fiber-optic added to the area. Located close to NAIT and Kingsway Mall on a quiet tree-lined street. Fantastic opportunity with loads of potential. Very close to public transit too.","$275,000",3,2.00,2,"1,119",0.11,1957,Single Family,Residential Detached Single Family,Bungalow,12325 101 Street Nw,Edmonton,Westwood,,Edmonton,ALBERTA,AB,T5G 2C6,"Dog Run-Fenced In, No Animal Home, No Smoking Home, Parking-Extra, Patio",2,Single Garage Detached,No,No,"Carpet, Linoleum","Stove-Electric, Window Coverings, Refrigerators-Two, Alarm/Security System, Dishwasher-Built-In, Dryer, Freezer, Garage Control, Garage Opener, Hood Fan",Forced Air-1,No,2,Yes,"Fully Finished, Full",No,"Stucco, Vinyl","Back Lane, Fenced, Fruit Trees/Shrubs, Paved Lane, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Treed Lot",Wood Frame,Concrete,,,,No,No,Courtesy Of Carson Beier Of Royal LePage Noralta Real Estate,3,1,12Wx21L,,,,,,,
"Beautifully priced 4-bed 1.5-bath home in Belmont, great location near Victoria Trail & close access to Henday Drive! 1070 sq.ft. bungalow has a white kitchen with lot of room for storage and a view of the huge back yard. The dining room and large living room are open concept. Also on the main floor, you'll find three bedrooms, including primary bedroom w/2-pc ensuite, plus 4-pc main bath, a spacious front hall and ceiling fans in every room! Basement is partially finished with bedroom, family room and roughed-in bathroom. Look for the updated windows, new furnace, and updated garage door. Huge double detached garage can fit two vehicles and still have room for storage, workbench and more. Well-located across from shopping, and both elementary & junior high schools! This house could be your next home!","$299,999",4,2.00,1,"1,071",0.14,1975,Single Family,Residential Detached Single Family,Bungalow,3716 136 Avenue Nw,Edmonton,Belmont,,Edmonton,ALBERTA,AB,T5A 2P1,See Remarks,5,Double Garage Detached,No,No,Laminate Flooring,"Garage Control, Garage Opener, Refrigerator, Stove-Electric, Window Coverings, Microwave Hood Cover",Forced Air-1,No,1,Yes,"Full, Partly Finished",No,Vinyl,"Fenced, Flat Site, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Low Maintenance Landscape, No Back Lane, No Through Road",Wood Frame,Concrete,SIFTON SCHOOL,JOHN D. BRACCO SCHOOL,EASTGLEN SCHOOL,No,No,Courtesy Of Jennifer Prosser Of Sweetly,3,2,,1,,,,,,
"INVESTMENT OPPORTUNITY, this property is set up with 2 suites. Rent them both out or live on one floor & rent out the other. Enjoy this 1965 built, 1200sqft, character bungalow, 2+3 bedroom, 2 bath home in the sought after, walkable, RITCHIE neighborhood. Enter into the living room & enjoy the mid century wood details throughout. The massive front window floods the space with natural light. Hello plant lovers! Head to the bright open kitchen & dining room with plenty of cupboard space. The primary bedroom has his & hers closets. The main floor is complete with a 2nd bedroom, 4pc bath & laundry. The separate side entrance will take you downstairs to the seciond suite. Enjoy the bright open design with new windows & laminate flooring. The kitchen has just the right amount of cupboard space & walk-in pantry. There are 3 bedrooms (2 have sinks), 4pc bath & laundry to finish off the space. The fenced yard has a single car garage & plenty of parking. Quick access to Whyte ave, downtown, & UofA. Welcome Home!","$465,000",5,2.00,2,"1,200",0.10,1965,Single Family,Residential Detached Single Family,Bungalow,9828 81 Avenue Nw,Edmonton,Ritchie,,Edmonton,ALBERTA,AB,T6E 1W3,Hot Water Natural Gas,2,"Insulated, On Street, Over Sized, Parking Pad Cement or Paved, Single Garage Detached",No,No,"Carpet, Laminate Flooring, Linoleum","Window Coverings, Dryer-Two, Refrigerators-Two, Stoves-Two, Washers-Two, Hood Fan",See Remarks,No,2,Yes,"Fully Finished, Full",Yes,"Brick, Composition, Metal","Back Lane, Fenced, Flat Site, Landscaped, Low Maintenance Landscape, Playground Nearby, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Sara Kalke Of RE/MAX Real Estate,2,1,,,,,,,,
"Welcome to this 3 bedroom home located in Glenwood! Main floor includes kitchen den/dining room, huge sunken living room with wood fireplace! Very spacious master bedroom with access to the covered deck and huge back yard. Beautiful private yard with raspberries and huge shed. Addition is large bedroom and living room approx 10 yrs ago. Great opportunity to build sweat equity or great redevelopment site. SOLD AS IS WHERE IS","$255,000",3,1.00,,"1,291",0.17,1950,Single Family,Residential Detached Single Family,Bungalow,9941 163 Street Nw,Edmonton,Glenwood,,Edmonton,ALBERTA,AB,T5P 3N3,"Handyman Special, Infill Property",,Stall,No,No,See Remarks,See Remarks,Forced Air-1,Yes,1,Yes,"Full, See Remarks",No,Vinyl,"Back Lane, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,Yes,Yes,Courtesy Of Paolo Chiaselotti Of MaxWell Progressive,2,,,1,"Mantel, Wood",,,,,
"Great location, fully renovated Bungalow, Big entrance with vaulted ceiling, kitchen with granite counter tops, modern white cabinets, laminate try all main floor, big living room with vaulted ceiling, main floor has 2 bedrooms, master has fully renovated en site, second bedroom good size, full renovated 4 piece bath, Main floor ready for all of your personal needs. Main floor has side entrance into a separate space with immediate access to your back yard, Fully finished Basement with large family room, fireplace, 3 bedroom and full bath, 2 good size decks, double detached garage, close to Whitemud drive, parks, schools and Meadowlark shopping center. shows great!","$399,000",3,3.00,3,"1,268",0.00,1961,Single Family,Residential Detached Single Family,Bungalow,8308 159 Street Nw,Edmonton,Elmwood,,Edmonton,ALBERTA,AB,T5R 2E7,"Deck, Detectors Smoke, Hot Tub, No Smoking Home",,Double Garage Detached,No,No,"Hardwood, Carpet","Dryer, Stove-Electric, Washer, Window Coverings, Refrigerator, Dishwasher-Built-In, Garage Control, Garage Opener",Forced Air-1,No,2,Yes,"Full, Fully Finished, Remodelled Basement",No,Brick,"Public Transportation, Schools, Shopping Nearby, Back Lane, Fenced, Flat Site",Wood Frame,Concrete,,,,No,No,Courtesy Of Michael Zisin Of Royal LePage Noralta Real Estate,2,2,,,,,,,,
"Situated on a 12,000+ SQFT PIE SHAPED LOT in the very desirable south central neighbourhood of Pleasantview, this FULLY RENOVATED HOME is ready for a new owner. Located in a private cul-de-sac & across from a park island, this home offers curb appeal galore and highly sought SOUTH BACKING YARD. This home has been FULLY RENOVATED from TOP to BOTTOM and offers a modern yet timeless decor. Upgrades include all NEW FLOORING, BLACK HARDWARE, NEW WINDOWS, FULLY REMODELLED BATHROOMS, 2 NEWER HI FURNACES, NEW LIGHT FIXTURES and much more. Kitchen has been completed redone and offers LARGE ISLAND, QUARTZ COUNTERTOPS, VERTICAL TILE BACKSPLASH, INTEGRATED HOOD-FAN, loads of counter space, and large window looking out to the massive yard. Patio doors lead you from the kitchen/DR to a side covered deck & there is a 2nd deck off the primary bedroom. Double attached garage perfect for our long and cold winters. Large lot/yard offers an abundance of potential/redevelopment possibilities. Truly a stunning must see home.","$699,900",4,3.00,2,"1,439",0.00,1961,Single Family,Residential Detached Single Family,3 Level Split,6032 105b Street Nw,Edmonton,Pleasantview,,Edmonton,ALBERTA,AB,T6H 2S5,"Air Conditioner, Deck, Laundry-In-Suite, No Animal Home, No Smoking Home, See Remarks, Crawl Space",,Double Garage Attached,No,No,"Ceramic Tile, Engineered Wood","Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Hood Fan, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,3,Yes,"Full, Fully Finished, Crawl Space",No,"Stone, Stucco","Back Lane, Cul-De-Sac, Fenced, Flat Site, Low Maintenance Landscape, Playground Nearby, Public Transportation, Schools, Shopping Nearby, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Shane Gwilliam Of Sable Realty,3,2,,1,,,,,,
"This Wellington Bungalow has 4 bedrooms plus a den. There are two full and renovated bathrooms one up and down. Vinyl windows and siding, mid eff. furnace with a bright eat in kitchen and fully finished basement. The large back yard is fenced with a vegetable garden area. A large detached double garage and storage shed plus more parking area on the lane side. The sewer has been replaced and newer laminate in the kitchen. A large Rec room down as well as a storage room and the 4th bedroom and den. The den is being used as a bedroom for a total of 5 if desired. Home is currently rented. Great location close to North Edmonton Common, 137 Ave. shopping such as Turquaz Kebab House, Edo, Home Depot, and SO much more! Close to schools and easy access to the Yellowhead and minutes to downtown.","$318,000",4,2.00,2,995,0.13,1959,Single Family,Residential Detached Single Family,Bungalow,13612 136a Street Nw,Edmonton,Wellington,,Edmonton,ALBERTA,AB,T5L 2A6,"Detectors Smoke, Fire Pit, Vinyl Windows, Natural Gas BBQ Hookup",4,Double Garage Detached,No,No,"Carpet, Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Dryer, Garage Opener, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings",Forced Air-1,Yes,2,Yes,"Full, Fully Finished",Yes,Vinyl,"Back Lane, Fenced, Flat Site, Landscaped, Public Transportation, Schools, Shopping Nearby, Vegetable Garden",Wood Frame,Concrete,,,,No,No,Courtesy Of Murray Glick Of Re/Max Excellence,3,2,6.18 x 6.79,,"Electric, Freestanding",rf-1,,,,
"This super cute, move-in-ready, upgraded home has 3 bedrooms. Brand-new kitchen - 2022 with corian countertops and a beautiful waterfall edge. Stainless steel appliances. Built in pantry, with ample storage space. New flooring throughout. Beautiful custom attached shoe/storage rack at entrance. Wood burning fire place. The bathroom has also been upgraded and has a corian countertop and corian shower surround. Hot water tank was replaced in 2021. Plumbing has been upgraded. Double detached garage, with lots of built-in shelving units for storage. Private back deck over looking beautiful vegetable garden. Ground level paving stone patio and fire pit, with a raised vegetable/flower garden surrounded by cement blocks. Easy access to shopping, the Yellowhead Trail, public transportation and the North East Line of the LRT. A number of schools close by. This home is perfect for anyone looking for a move-in ready home.","$249,900",3,1.00,1,"1,100",0.00,1957,Single Family,Residential Detached Single Family,Bungalow,12008 61 Street Nw Nw,Edmonton,Montrose,,Edmonton,ALBERTA,AB,T5W 4B1,"Crawl Space, Deck, Laundry-Same Floor, Fire Pit, Hot Water Natural Gas, Skylight",,Double Garage Detached,No,No,"Engineered Wood, Laminate Flooring, Vinyl Plank","Alarm/Security System, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener, Hood Fan, Refrigerator, Stove-Electric, Washer, Garage Control",Forced Air-1,Yes,1,Yes,"Crawl Space, See Remarks",No,Vinyl,"Back Lane, Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Fruit Trees/Shrubs, Vegetable Garden",Wood Frame,Concrete,,,,No,No,Courtesy Of Erin Neil Of Carton Realty Ltd,3,2,,,"Mantel, Wood",,,,,
"RF5 Zoning. Incredible opportunity to buy and have as a cute starter home, investment or future infill! With nearly 800 square feet, this little bungalow has lots to offer! The yard is fully fenced with a double detached garage. Inside the back porch is a perfect mudroom with the laundry conveniently located. The main hub offers a spacious EI kitchen at the back, and a front facing living room. 2 beds and one full bath. All ready for you to dream of home ownership and paint colours! Listed below assessed value!!!","$150,000",2,1.00,1,799,0.10,1941,Single Family,Residential Detached Single Family,Bungalow,12932 64 Street Nw,Edmonton,Belvedere,,Edmonton,ALBERTA,AB,T5A 0Y1,Deck,,Double Garage Detached,No,No,"Carpet, Linoleum","Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,1,Yes,"Part, Unfinished",No,Vinyl,"Back Lane, Public Transportation, Fenced",Wood Frame,Concrete,A. BLAIR MCPHERSON K-9,ALLENDALE SCHOOL (7-9),AMISKWACIY ACADEMY (7-12),No,No,Courtesy Of Kimberly Graham Of RE/MAX River City,2,2,,,,,,,,
